date,title,location,duration,content,source_file
2025-04-01,Flag 進 brassMonkey,心室,1.0,"強度：中  
- [x] flag —> brassMonkey  
- [x] drop （跳三次，有一次比較好，但好可怕，空間好小）  
- [x] 第二小時帶體驗（阿瑞＋爸）  
    - [x] 暖身 10-15分鐘  
        - [x] 伸展  
        - [x] 管上暖身  
            - [x] 掛著 勾腳 10秒  
            - [x] 膝蓋吸起來 2次+定 3 s  
    - [x] 串聯  
        - [x] 側 Hook   
            - [x] 仰臥  
            - [x] 青蛙轉  
            - [x] 蹺腳轉  
            - [ ] Bellerina  
        - [x] 正爬  
            - [x] 正爬 —> 正坐  
        - [x] 正坐  
            - [x] 正坐+穿手手  
            - [ ] 正坐+往後延伸（剪刀腳＋勾勾腳）  
        - [x] 旋轉  
            - [x] 大字轉  
            - [ ] 旋轉管 chair spin （兩手抓）  
            - [ ] Or 膝蓋夾轉  ",日常練管紀錄 202504-06.md
2025-04-08,倒立 + 十字腿,心室,1.0,"強度：中  
- [x] 暖身  
- [x] 倒立練習  
- [ ] 倒立進去直升機  
- [x] Handspring 進去直升機  
  ",日常練管紀錄 202504-06.md
2025-04-13,PoleFlow 練習,家,1.0,"強度：低  
Secret Seductress Training  
- [x] 設備  
    - [x] 衣服  
    - [x] 燈光  
    - [x] 手機+insta  
    - [x] 音樂  
- [x] 暖身  
    - [x] 平板支撐  
    - [x] Wave 練習（順上、順下）  
    - [x] 眼神練習  
    - [x] 肩胸臀  
    - [x] 腳轉轉  
- [x] 玩一些  
    - [x] Twerk  
    - [x] 椅子舞  
    - [x] polefloor  
- [x] 收操  
    - [x] 拉筋 king pigeon  
    - [x] 拉 後腰  
    - [x] 按摩舒緩  
  ",日常練管紀錄 202504-06.md
2025-04-15,熟悉等級 1 的 handspring,心室,1.0,"強度：中  
目標：熟練自信、穩定度、成功率  
- [x] 暖身  
    - [x] 拉伸  
    - [x] 管上：坐著、deadlift 預備  
    - [x] 類似倒立：手推車  
- [x] 等級 1（練 3 次）  
    - [x] 旋轉 Brassmonkey —> banana handspring 2024/11/8  
    - [x] 固定 穿牛仔褲往旁進 A 2025/3/12  
    - [x] 旋轉 右腳在上的Allegra—> A 2024/12/23  
    - [x] 固定 跳上 A —> 十字腿直升機 2025/3/3  ",日常練管紀錄 202504-06.md
2025-04-16,課後踢三個handspring,舞雲,0.0,"* 成功率：2/6，其餘沒一秒，三個有開腳  
* 穩定度：兩個成功的有10秒，但要先踢好幾個X暖好才進得去  
* 表現：成功的還挺好，腿可以直的話更帥了  
  ",日常練管紀錄 202504-06.md
2025-04-17,熟悉等級 1 的 handspring，Titanic,Flow,1.0,"* 強度：高  
    * 身體狀況不佳，連續練管 3 天＋樓下施工沒睡飽  
    * 感覺練續做 10 個 Straddle 強度就很高  
* 目標：拉體力、熟悉 handspring  
* 表現：做不出 handspring, 練習一些旋轉管的東西  
- [x] 暖身（15 min）  
    - [x] 拉伸  
    - [x] Straddle *10  
    - [x] Shoulder Mount  
    - [x] 管上  
- [x] 主菜  
    - [x] Ayesha 各 3 次 （30 min）  
        - [x] 固定 brassMonkey —> double knee hook —> inside leg hang —>A 2024/7/22 (1)  
            * 進入 A: 0/4，就當練習前面 shoulderMount + 固定管囉  
        - [x] 旋轉 曬日光浴+聽電話 —> A 2024/11/22 (1)  
            * 進入 A: 0/4，就當練習前面旋轉管的東西囉  
            * 聽電話那個butterfly，有進步! 進入比較俐落了  
    - [x] Spin 玩 3 次 （15 min）  
        - [x] Titanic  
            * 0/4，比較有找到張力，但還是不能全放  ",日常練管紀錄 202504-06.md
2025-04-18,try 空翻,長興,1.5,"* 暖身  
    * 動態跳2-3個：往上跳、大字腿跳、向上抱腿跳、前拍跳，前拍+大字+左轉+右轉  
    * 動態小翻2個：前滾翻、後滾翻、側手翻  
    * 倒立1分鐘，雙腳跳蹬地10個  
    * 原地10個：平 蹲 直跳；平蹲 抱腿（爆發力）  
    * 往後鋤頭抱腿10個；地板起下腰10個  
* 後手翻（差不多15個  
    * 用滾筒3+用滾筒跳3  
    * 教練保3*3  
* 側手翻（差不多10個  
    * 原地側手翻：手腳要在一直線；結尾手要起來；我有基礎在、注意腳要一直線  
    * 助跑側手翻：腳用力甩、不用跳太高  
* 前空翻（差不多10個  
    * 前滾高的，要抱腳、結尾要往前撲  
    * 我的手撐太多了，所以慣性沒了  
  ",日常練管紀錄 202504-06.md
2025-04-19,倒立練習,家,0.5,"* [林芊妤倒立跟練](https://youtu.be/Mvl7A1uj0WQ?si=JtB4wjpqEIAshXaP)  
* 兩隻腳同時跳起很難  
* 嘗試雙腳離開！一直抖但可以撐一下下  ",日常練管紀錄 202504-06.md
2025-04-22,練習Ayesha,心室,1.0,"* 強度：中  
- [x] 暖身（15 min）  
    - [x] 拉伸  
    - [x] 管上：Deadlift preparation 散步、左右  
- [x] 主菜  
    - [x] Ayesha 各 3 次  
        - [x] Football grip Ayesha  
            * 練習從 DragonFly 進去（2025/4/21 教的）--> 感覺還是不太穩  
            * 成功率：3/5  
        - [x] 固定 Jamilla—>挖手-->butterfly  
            * 算是結合原本課表安排🤣降低難度  
                * 固定轉 butterfly —> A 2024/6/17 (1)  
                * 固定 Jamilla—>挖手—>A 2025/4/16 (1)  
            * 成功率：4/7，到蝴蝶是100% 但可以再乾淨；到Ayesha 也可以再乾淨  
            * Jamilla 到後面會手軟，就歪掉了。還是不太容易直接 Jamilla—>Ayesha  
        - [x] 旋轉  ~~跳上 A~~ —> 扒腳-->電風扇 2024/12/30 (1)  
            * 放棄跳上，用毛毛蟲進入  
            * 旋轉 毛毛蟲到Ayesha 成功率：3/4  
            * Ayesha 到抓腳：0/4，還是抓不到，感覺是屁股沒留住，一放上腳就掉下去  
  ",日常練管紀錄 202504-06.md
2025-04-23,課後踢三個handspring,舞雲,0.0,"* 成功率：3/3  
* 穩定度：還可以，但沒有事  
* 表現：踢得蠻好，但有點不小心忍不住收腿  
* 練了 deadlift，結構還不夠穩，下手軟掉了，上手有點扭  
    * 小歐說要捲腹、胸部也要用力  
  ",日常練管紀錄 202504-06.md
